Molecule,TanimotoA,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 19,0.166010499,O=C(Nc1ccccc1F)/C=C\C(=O)O,C10H8FNO3,209.17,15,6,0,4,4,2,51.62,66.4,1.33,0.8,1.63,1.48,1.28,1.3,-1.67,4.44E+00,2.12E-02,Very soluble,-1.78,3.51E+00,1.68E-02,Very soluble,-2.15,1.49E+00,7.13E-03,Soluble,High,Yes,No,No,No,No,No,No,-7.01,0,0,0,0,0,0.85,0,1,1,1.91
Molecule 20,0.183023873,O=C(Nc1ccccc1Cl)/C=C\C(=O)O,C10H8ClNO3,225.63,15,6,0,4,3,2,56.68,66.4,1.3,1.05,1.73,1.62,1.5,1.44,-1.93,2.64E+00,1.17E-02,Very soluble,-2.04,2.08E+00,9.22E-03,Soluble,-2.48,7.39E-01,3.27E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.93,0,0,0,0,0,0.85,0,1,1,1.85
Molecule 21,0.097883598,Oc1ccccc1/C=N/N=C/c1ccccc1O,C14H12N2O2,240.26,18,12,0,3,4,2,72.12,65.18,1.87,2.59,2.55,1.87,3.23,2.42,-3.26,1.33E-01,5.54E-04,Soluble,-3.61,5.93E-02,2.47E-04,Soluble,-3.96,2.65E-02,1.10E-04,Soluble,High,Yes,No,No,No,No,No,No,-5.93,0,0,0,0,0,0.55,1,1,1,2.21
Molecule 22,0.147901399,O=C(Nc1ccc(cc1)Cl)/C=C\C(=O)O,C10H8ClNO3,225.63,15,6,0,4,3,2,56.68,66.4,1.08,1.49,1.73,1.62,1.5,1.48,-2.21,1.39E+00,6.17E-03,Soluble,-2.49,7.27E-01,3.22E-03,Soluble,-2.48,7.39E-01,3.27E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.62,0,0,0,0,0,0.85,0,1,1,1.77
Molecule 23,0.302881668,S=C1NC(=O)C(=Cc2c[nH]c3c2cccc3)C(=O)N1,C13H9N3O2S,271.29,19,9,0,1,2,3,82.32,106.08,1.14,1.69,0.21,0.45,3.26,1.35,-2.87,3.65E-01,1.35E-03,Soluble,-3.53,7.96E-02,2.93E-04,Soluble,-4.4,1.09E-02,4.02E-05,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-6.75,0,0,0,0,0,0.55,1,3,0,2.35
Molecule 24,0.299328039,N#Cc1c(N=Cc2ccco2)sc(c1C)C,C12H10N2OS,230.29,16,10,0.17,2,3,0,64.93,77.53,2.59,3.12,3.58,0.79,4.85,2.99,-3.56,6.29E-02,2.73E-04,Soluble,-4.42,8.82E-03,3.83E-05,Moderately soluble,-4.36,1.01E-02,4.38E-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.49,0,0,0,0,0,0.55,0,1,1,3.3
Molecule 25,0.217088608,N#CCC(=O)N/N=C/c1c[nH]c2c1cccc2,C12H10N4O,226.23,17,9,0.08,4,3,2,64.12,81.04,1.15,1.19,1.53,0.25,2.27,1.28,-2.12,1.72E+00,7.58E-03,Soluble,-2.49,7.36E-01,3.25E-03,Soluble,-3.88,3.02E-02,1.33E-04,Soluble,High,No,No,Yes,No,No,No,No,-6.84,0,0,0,0,0,0.55,0,1,1,2.2
Molecule 26,0.116993464,N#CCC(=O)N/N=C/c1ccco1,C8H7N3O2,177.16,13,5,0.12,4,4,1,44.53,78.39,1.04,1.5,0.64,-1.01,1,0.64,-1.9,2.21E+00,1.25E-02,Very soluble,-2.75,3.12E-01,1.76E-03,Soluble,-2.19,1.14E+00,6.41E-03,Soluble,High,No,No,No,No,No,No,No,-6.32,0,0,0,0,1,0.55,0,1,1,2.89
Molecule 27,0.124174373,CCOc1ccc(cc1)/C=N/NC(=S)N,C10H13N3OS,223.29,15,6,0.2,5,2,2,64.5,91.73,2.23,0.75,1.25,1.14,2.38,1.55,-1.66,4.85E+00,2.17E-02,Very soluble,-2.26,1.24E+00,5.55E-03,Soluble,-2.88,2.98E-01,1.33E-03,Soluble,High,No,No,Yes,No,No,No,No,-7.13,0,0,0,0,0,0.55,0,2,1,2.21
Molecule 28,0.24509183,O=C(Nc1ccc(cc1[N+](=O)[O-])C)/C=C\C(=O)O,C11H10N2O5,250.21,18,6,0.09,5,5,2,65.45,112.22,0.92,1.26,1.29,0.38,-0.74,0.62,-2.1,1.98E+00,7.91E-03,Soluble,-3.22,1.52E-01,6.09E-04,Soluble,-1.64,5.80E+00,2.32E-02,Soluble,High,No,No,No,No,No,No,No,-6.93,0,0,0,0,0,0.56,0,3,0,2.44
Molecule 29,0.25,OCCCc1nc2c(n1CC=C)cccc2,C13H16N2O,216.28,16,9,0.31,5,2,1,65.88,38.05,2.11,2.15,2.15,1.82,2.64,2.17,-2.62,5.17E-01,2.39E-03,Soluble,-2.58,5.67E-01,2.62E-03,Soluble,-3.58,5.65E-02,2.61E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.09,0,0,0,0,0,0.55,0,1,1,2.35
Molecule 30,0.262006079,CCn1c2ccccc2nc1S(=O)(=O)O,C9H10N2O3S,226.25,15,9,0.22,2,4,1,55.66,80.57,1.21,0.82,2.38,0.8,0.07,1.06,-2.07,1.92E+00,8.48E-03,Soluble,-2.09,1.82E+00,8.05E-03,Soluble,-2.23,1.32E+00,5.82E-03,Soluble,High,No,No,No,No,No,No,No,-7.1,0,0,0,0,0,0.56,0,1,1,1.96
Molecule 31,0.36068477,N#C/C(=C/c1cccnc1)/c1nnc2n1CCCCC2,C15H15N5,265.31,20,11,0.33,2,4,0,76.28,67.39,1.97,1.25,2.35,1.22,2.21,1.8,-2.55,7.52E-01,2.84E-03,Soluble,-2.26,1.45E+00,5.45E-03,Soluble,-3.75,4.74E-02,1.79E-04,Soluble,High,Yes,Yes,No,No,No,No,No,-7.03,0,0,0,0,0,0.55,0,1,0,3.28
Molecule 32,0.195734003,N#CCc1nnc2n1CCCCC2,C9H12N4,176.22,13,5,0.67,1,3,0,48.08,54.5,1.25,0.19,1.07,0.72,1.32,0.91,-1.27,9.44E+00,5.36E-02,Very soluble,-0.89,2.26E+01,1.28E-01,Very soluble,-1.91,2.15E+00,1.22E-02,Soluble,High,Yes,Yes,No,No,No,No,No,-7.24,0,0,0,0,1,0.55,0,0,1,2.6
Molecule 33,0.343990527,N#C/C(=C/c1ccc(cc1)Cl)/c1nnc2n1CCCCC2,C16H15ClN4,298.77,21,11,0.31,2,3,0,83.49,54.5,2.49,2.94,3.61,2.81,3.4,3.05,-3.8,4.73E-02,1.58E-04,Soluble,-3.75,5.36E-02,1.79E-04,Soluble,-4.72,5.64E-03,1.89E-05,Moderately soluble,High,Yes,Yes,Yes,Yes,Yes,No,No,-6.04,0,0,0,0,0,0.55,0,1,0,3.31
Molecule 34,0.222363405,C/C(=N/NC(=S)N)/c1ccc(c(c1O)O)O,C9H11N3O3S,241.27,16,6,0.11,3,4,5,64.08,143.19,0.62,0.36,0.36,-0.27,0.83,0.38,-1.64,5.50E+00,2.28E-02,Very soluble,-2.93,2.82E-01,1.17E-03,Soluble,-1,2.39E+01,9.89E-02,Soluble,Low,No,No,No,No,No,No,No,-7.52,0,0,1,1,0,0.55,3,3,1,2.44
Molecule 35,0.165789474,C=CCNC(=O)COc1ccc(cc1)C(=O)C,C13H15NO3,233.26,17,6,0.23,7,3,1,64.88,55.4,2.13,1.26,1.57,1.09,2.43,1.7,-1.88,3.08E+00,1.32E-02,Very soluble,-2.02,2.22E+00,9.50E-03,Soluble,-3.74,4.27E-02,1.83E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.83,0,0,0,0,0,0.55,0,1,1,1.79
Molecule 36,0.120973044,C=CCNC(=S)NCc1ccco1,C9H12N2OS,196.27,13,5,0.22,6,1,2,55.82,69.29,2.27,1.21,1.28,0.26,2.47,1.5,-1.71,3.85E+00,1.96E-02,Very soluble,-2.26,1.07E+00,5.47E-03,Soluble,-3.13,1.47E-01,7.48E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.64,0,0,0,0,1,0.55,0,2,1,2.46
Molecule 37,0.20610687,N#C/C(=C(/O)\C)/c1nc2c([nH]1)cccc2,C11H9N3O,199.21,15,9,0.09,1,3,2,57.12,72.7,1.34,1.48,2.38,0.34,1.86,1.48,-2.39,8.20E-01,4.12E-03,Soluble,-2.61,4.85E-01,2.43E-03,Soluble,-2.9,2.48E-01,1.25E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.46,0,0,0,0,1,0.55,0,2,1,1.97
Molecule 38,0.224050633,CC/C(=C(/c1nc2c([nH]1)cccc2)\C#N)/O,C12H11N3O,213.24,16,9,0.17,2,3,2,61.93,72.7,1.89,1.91,2.77,0.62,2.22,1.88,-2.65,4.78E-01,2.24E-03,Soluble,-3.06,1.86E-01,8.71E-04,Soluble,-3.31,1.04E-01,4.89E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.24,0,0,0,0,0,0.55,0,2,1,2.26
Molecule 39,0.257802747,N#C/C(=C(\CCC(=O)O)/O)/c1nc2c([nH]1)cccc2,C13H11N3O3,257.24,19,9,0.15,4,5,3,68.51,110,1.05,0.87,2.22,-0.02,1.55,1.13,-2.07,2.19E+00,8.52E-03,Soluble,-2.76,4.43E-01,1.72E-03,Soluble,-2.7,5.13E-01,2.00E-03,Soluble,High,No,No,No,No,No,No,No,-7.25,0,0,0,0,0,0.55,0,2,0,2.46
Molecule 40,0.066931743,COC(=O)/C=C(/C(=O)OC)\I,C6H7IO4,270.02,11,0,0.33,4,4,0,46.01,52.6,2.05,0.87,0.65,0.84,0.99,1.08,-1.8,4.30E+00,1.59E-02,Very soluble,-1.56,7.46E+00,2.76E-02,Very soluble,-1.07,2.28E+01,8.43E-02,Soluble,High,Yes,No,No,No,No,No,No,-7.33,0,1,0,0,0,0.55,0,3,0,2.88
Molecule 41,0.195967234,N#CC(=c1ccc(cn1C)C(F)(F)F)C#N,C10H6F3N3,225.17,16,6,0.2,1,5,0,49.36,52.51,1.87,1.64,2.68,0.73,1.98,1.78,-2.48,7.44E-01,3.31E-03,Soluble,-2.36,9.93E-01,4.41E-03,Soluble,-2.7,4.47E-01,1.99E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.51,0,0,0,0,0,0.55,0,0,1,2.31
Molecule 42,0.102785146,C/C(=C\c1ccccc1)/[N+](=O)[O-],C9H9NO2,163.17,12,6,0.11,2,2,0,49.44,45.82,1.82,2.52,2.22,1.49,0.32,1.67,-2.68,3.43E-01,2.10E-03,Soluble,-3.13,1.21E-01,7.44E-04,Soluble,-2.25,9.26E-01,5.68E-03,Soluble,High,Yes,No,Yes,Yes,No,No,No,-5.51,0,0,0,0,1,0.55,0,2,1,2.51
Molecule 43,0.192825112,CCOc1ccccc1/C=C(/[N+](=O)[O-])\C,C11H13NO3,207.23,15,6,0.27,4,3,0,60.74,55.05,2.45,2.89,2.61,1.5,0.73,2.04,-2.98,2.18E-01,1.05E-03,Soluble,-3.71,4.08E-02,1.97E-04,Soluble,-2.79,3.33E-01,1.61E-03,Soluble,High,Yes,No,Yes,Yes,No,No,No,-5.51,0,0,0,0,0,0.55,0,2,1,2.69
Molecule 44,0.416953036,C=CCn1c(Br)nc2c1c(=O)n(C)c(=O)n2C,C10H11BrN4O2,299.12,17,9,0.3,2,3,0,68.88,61.82,2.44,1.34,0.38,1.06,0.85,1.21,-2.8,4.76E-01,1.59E-03,Soluble,-2.24,1.72E+00,5.76E-03,Soluble,-1.97,3.19E+00,1.07E-02,Soluble,High,No,No,Yes,No,No,No,No,-7.17,0,0,0,0,0,0.55,0,1,0,2.63
Molecule 45,0.417816092,C=CCn1c(S)nc2c1c(=O)n(C)c(=O)n2C,C10H12N4O2S,252.29,17,9,0.3,2,3,0,68.43,100.62,2.34,0.8,-0.09,0.62,0.46,0.82,-2.17,1.71E+00,6.79E-03,Soluble,-2.49,8.08E-01,3.20E-03,Soluble,-1.25,1.43E+01,5.68E-02,Soluble,High,No,No,No,No,No,No,No,-7.27,0,0,0,0,0,0.55,0,2,0,2.41
Molecule 46,0.448827902,C=CCn1c(SC)nc2c1c(=O)n(C)c(=O)n2C,C11H14N4O2S,266.32,18,9,0.36,3,3,0,72.9,87.12,2.78,1.16,0.34,0.91,0.76,1.19,-2.39,1.08E+00,4.04E-03,Soluble,-2.58,6.93E-01,2.60E-03,Soluble,-1.63,6.24E+00,2.34E-02,Soluble,High,No,No,Yes,No,No,No,No,-7.1,0,0,0,0,0,0.55,0,1,0,2.66
Molecule 47,0.452787258,C=CCn1c(SCC)nc2c1c(=O)n(c(=O)n2C)C,C12H16N4O2S,280.35,19,9,0.42,4,3,0,77.71,87.12,2.96,1.52,0.73,1.19,1.13,1.51,-2.62,6.69E-01,2.39E-03,Soluble,-2.96,3.09E-01,1.10E-03,Soluble,-2.03,2.62E+00,9.33E-03,Soluble,High,No,No,Yes,No,No,No,No,-6.93,0,0,0,0,0,0.55,0,1,0,2.82
Molecule 48,0.455423055,C=CCn1c(SCCC)nc2c1c(=O)n(c(=O)n2C)C,C13H18N4O2S,294.37,20,9,0.46,5,3,0,82.51,87.12,3.2,2.05,1.12,1.47,1.51,1.87,-2.96,3.23E-01,1.10E-03,Soluble,-3.51,9.14E-02,3.10E-04,Soluble,-2.43,1.09E+00,3.72E-03,Soluble,High,No,No,Yes,No,Yes,No,No,-6.64,0,0,0,0,0,0.55,0,1,0,3.02
Molecule 49,0.405963303,C=CCn1c(N)nc2c1c(=O)n(C)c(=O)n2C,C10H13N5O2,235.24,17,9,0.3,2,3,1,65.58,87.84,1.86,-0.03,-0.79,0.23,-0.54,0.15,-1.54,6.79E+00,2.89E-02,Very soluble,-1.36,1.02E+01,4.32E-02,Very soluble,-0.78,3.91E+01,1.66E-01,Soluble,High,No,No,No,No,No,No,No,-7.76,0,1,0,0,0,0.55,0,1,1,2.51
Molecule 50,0.424533635,C=CCn1c(NC)nc2c1c(=O)n(C)c(=O)n2C,C11H15N5O2,249.27,18,9,0.36,3,3,1,70.48,73.85,2.3,0.63,-0.53,0.52,-0.12,0.56,-1.95,2.77E+00,1.11E-02,Very soluble,-1.76,4.37E+00,1.75E-02,Very soluble,-1.57,6.63E+00,2.66E-02,Soluble,High,No,No,Yes,No,No,No,No,-7.37,0,1,0,0,0,0.55,0,1,1,2.65
Molecule 51,0.435911914,C=CCn1c(NCC)nc2c1c(=O)n(c(=O)n2C)C,C12H17N5O2,263.3,19,9,0.42,4,3,1,75.29,73.85,2.65,1,-0.14,0.8,0.25,0.91,-2.19,1.70E+00,6.47E-03,Soluble,-2.14,1.91E+00,7.25E-03,Soluble,-1.98,2.78E+00,1.05E-02,Soluble,High,No,No,Yes,No,No,No,No,-7.2,0,0,0,0,0,0.55,0,1,0,2.8
Molecule 52,0.433877321,C=CCn1c(nc2c1c(=O)n(C)c(=O)n2C)N(C)C,C12H17N5O2,263.3,19,9,0.42,3,3,0,75.39,65.06,2.67,0.77,-0.31,0.8,-0.19,0.75,-2.11,2.04E+00,7.76E-03,Soluble,-1.72,5.06E+00,1.92E-02,Very soluble,-1.24,1.50E+01,5.70E-02,Soluble,High,No,No,No,No,No,No,No,-7.36,0,0,0,0,0,0.55,0,1,0,2.75
Molecule 53,0.45342312,C=CCn1c(nc2c1c(=O)n(c(=O)n2C)C)N(CC)CC,C14H21N5O2,291.35,21,9,0.5,5,3,0,85,65.06,3.09,1.5,0.47,1.34,0.57,1.39,-2.58,7.69E-01,2.64E-03,Soluble,-2.47,9.78E-01,3.36E-03,Soluble,-2.04,2.63E+00,9.04E-03,Soluble,High,No,No,No,No,No,No,No,-7.01,0,0,0,0,0,0.55,0,1,0,2.99
Molecule 54,0.105844156,N#CSC1C=CS(=O)(=O)C1,C5H5NO2S2,175.23,10,0,0.4,1,3,0,39.87,91.61,0.74,0.34,1.59,0.12,0.14,0.59,-1.07,1.48E+01,8.42E-02,Very soluble,-1.83,2.60E+00,1.49E-02,Very soluble,-0.41,6.83E+01,3.90E-01,Soluble,High,No,No,No,No,No,No,No,-7.13,0,2,0,0,1,0.55,0,1,1,3.83
Molecule 55,0.160784314,O=C(CN1CCOCC1)N/N=C/c1ccc(cc1)O,C13H17N3O3,263.29,19,6,0.38,5,5,2,74.74,74.16,1.88,0.51,-0.21,-0.05,1.22,0.67,-1.7,5.28E+00,2.01E-02,Very soluble,-1.64,6.06E+00,2.30E-02,Very soluble,-2.51,8.16E-01,3.10E-03,Soluble,High,No,No,No,No,No,No,No,-7.54,0,0,0,0,0,0.55,1,1,0,2.58
Molecule 56,0.208706786,COc1cc(/C=N/NC(=O)CN2CCOCC2)ccc1O,C14H19N3O4,293.32,21,6,0.43,6,6,2,81.23,83.39,2.47,0.48,-0.2,-0.32,1.27,0.74,-1.78,4.91E+00,1.67E-02,Very soluble,-1.8,4.64E+00,1.58E-02,Very soluble,-2.63,6.92E-01,2.36E-03,Soluble,High,No,Yes,No,No,No,No,No,-7.75,0,0,0,0,0,0.55,1,1,0,2.75
Molecule 57,0.245932416,O=C(c1ccc(=O)[nH]n1)N/N=C/c1ccccc1O,C12H10N4O3,258.23,19,12,0,4,5,3,68.05,107.44,1.18,0.26,0.24,0.46,1.53,0.73,-1.81,4.02E+00,1.56E-02,Very soluble,-2.08,2.16E+00,8.37E-03,Soluble,-3.6,6.50E-02,2.52E-04,Soluble,High,No,No,No,No,No,No,No,-7.69,0,0,0,0,0,0.55,1,1,0,2.54
Molecule 58,0.206238065,O=Cc1cc2cc(C)ccc2[nH]c1=O,C11H9NO2,187.19,14,10,0.09,1,2,1,54.92,49.93,1.65,1.37,1.65,1.29,3.19,1.83,-2.33,8.83E-01,4.72E-03,Soluble,-2.02,1.78E+00,9.52E-03,Soluble,-3.94,2.12E-02,1.14E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.47,0,0,0,0,1,0.55,0,1,1,1.49
Molecule 59,0.323511357,N#Cc1ccccc1NC(=O)c1ccc(s1)[N+](=O)[O-],C12H7N3O3S,273.27,19,11,0,4,4,1,72.07,126.95,1.69,3.2,2.59,1.22,1.07,1.96,-3.71,5.27E-02,1.93E-04,Soluble,-5.54,7.92E-04,2.90E-06,Moderately soluble,-3.65,6.12E-02,2.24E-04,Soluble,High,No,No,Yes,Yes,Yes,No,No,-5.69,0,0,0,0,0,0.55,0,2,0,2.57
Molecule 60,0.323943662,N#Cc1ccccc1NC(=O)c1ccc(o1)[N+](=O)[O-],C12H7N3O4,257.2,19,11,0,4,5,1,66.46,111.85,1.46,2.59,2.12,1.24,-0.18,1.45,-3.23,1.51E-01,5.88E-04,Soluble,-4.59,6.65E-03,2.58E-05,Moderately soluble,-3.6,6.48E-02,2.52E-04,Soluble,High,No,No,Yes,Yes,No,No,No,-6.03,0,0,0,0,0,0.55,0,2,0,2.64
Molecule 61,0.282649842,N#Cc1ccccc1NC(=O)c1ccc(s1)Cl,C12H7ClN2OS,262.71,17,11,0,3,2,1,68.26,81.13,2.59,4,3.33,1.97,3.87,3.15,-4.27,1.41E-02,5.37E-05,Moderately soluble,-5.41,1.03E-03,3.93E-06,Moderately soluble,-4.89,3.39E-03,1.29E-05,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-5.06,0,0,0,0,0,0.55,0,0,1,2.32
Molecule 62,0.247162673,N#Cc1ccccc1NC(=O)c1cccc(c1)C(F)(F)F,C15H9F3N2O,290.24,21,12,0.07,4,5,1,70.37,52.89,2.3,3.11,4.79,3.21,3.64,3.41,-3.76,5.07E-02,1.75E-04,Soluble,-3.89,3.75E-02,1.29E-04,Soluble,-5.88,3.82E-04,1.32E-06,Moderately soluble,High,Yes,No,Yes,Yes,No,Yes,Yes,-5.86,0,0,0,0,0,0.55,0,0,0,2.01
Molecule 63,0.357272179,N#Cc1ccccc1NC(=O)c1cc(=O)c2c(o1)cccc2,C17H10N2O3,290.27,22,16,0,3,4,1,81.41,83.1,2.23,3.21,2.73,1,3.1,2.46,-4,2.89E-02,9.95E-05,Moderately soluble,-4.63,6.85E-03,2.36E-05,Moderately soluble,-6.21,1.80E-04,6.19E-07,Poorly soluble,High,No,No,Yes,No,Yes,Yes,Yes,-5.79,0,0,0,0,0,0.55,0,0,0,2.68
Molecule 64,0.36,N#Cc1ccccc1NC(=O)c1nc2c(s1)cccc2,C15H9N3OS,279.32,20,15,0,3,3,1,78.55,94.02,2.74,3.82,3.23,1.72,3.73,3.05,-4.34,1.29E-02,4.62E-05,Moderately soluble,-5.49,9.05E-04,3.24E-06,Moderately soluble,-5.57,7.50E-04,2.69E-06,Moderately soluble,High,No,No,Yes,Yes,Yes,No,Yes,-5.29,0,0,0,0,0,0.55,0,0,1,2.52
Molecule 65,0.225477707,SC(=Nc1cc(C)ccc1C)NCc1ccco1,C14H16N2OS,260.35,18,11,0.21,4,2,1,77.87,76.33,2.69,3.29,3.45,2.18,3.78,3.08,-3.72,5.02E-02,1.93E-04,Soluble,-4.57,7.04E-03,2.70E-05,Moderately soluble,-5.57,7.07E-04,2.72E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-5.55,0,0,0,0,0,0.55,0,3,0,3.07
Molecule 66,0.26809314,COc1ccc(cc1N=C(NCc1ccco1)S)OC,C14H16N2O3S,292.35,20,11,0.21,6,4,1,80.93,94.79,2.93,2.5,2.85,1.04,2.87,2.44,-3.24,1.69E-01,5.77E-04,Soluble,-4.14,2.14E-02,7.31E-05,Moderately soluble,-5.04,2.68E-03,9.18E-06,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-6.31,0,0,0,0,0,0.55,0,3,0,3.2
Molecule 67,0.078719146,NNC(=Nc1ccccc1)S,C7H9N3S,167.23,11,6,0,2,2,2,49.09,89.21,1.47,1.22,1.07,1.53,0.66,1.19,-1.92,2.02E+00,1.21E-02,Very soluble,-2.69,3.41E-01,2.04E-03,Soluble,-2.29,8.66E-01,5.18E-03,Soluble,High,No,No,No,No,No,No,No,-6.45,0,0,0,0,1,0.55,0,4,1,2.4
Molecule 68,0.176356589,Cc1ccc(c(c1)N=C(NC(C)(C)C)S)C,C13H20N2S,236.38,16,6,0.46,3,1,1,75.58,63.19,3.07,3.68,3.61,3.4,3.6,3.47,-3.7,4.68E-02,1.98E-04,Soluble,-4.7,4.75E-03,2.01E-05,Moderately soluble,-4.64,5.35E-03,2.26E-05,Moderately soluble,High,Yes,No,No,Yes,No,No,No,-5.13,0,0,0,0,0,0.55,0,3,2,2.84
Molecule 69,0.142481944,Cc1cccc(c1)N=C(NC(C)(C)C)S,C12H18N2S,222.35,15,6,0.42,3,1,1,70.61,63.19,2.86,3.31,3.3,3.13,3.08,3.14,-3.4,8.81E-02,3.96E-04,Soluble,-4.31,1.08E-02,4.86E-05,Moderately soluble,-4.26,1.23E-02,5.52E-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-5.31,0,0,0,0,0,0.55,0,3,1,2.72
Molecule 70,0.146962769,CCOc1ccc(cc1)N=C(NC(C)(C)C)S,C13H20N2OS,252.38,17,6,0.46,5,2,1,76.95,72.42,3.15,3.28,3.39,2.79,3.03,3.13,-3.4,9.99E-02,3.96E-04,Soluble,-4.48,8.44E-03,3.34E-05,Moderately soluble,-4.4,1.00E-02,3.98E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-5.51,0,0,0,0,0,0.55,0,3,0,2.77
Molecule 71,0.177618738,O=C(Cc1ccccc1)N/N=C(/Nc1ccccc1)\S,C15H15N3OS,285.36,20,12,0.07,6,2,2,84.46,92.29,2.32,3.07,2.47,3.08,2.53,2.69,-3.59,7.31E-02,2.56E-04,Soluble,-4.68,6.03E-03,2.11E-05,Moderately soluble,-5.57,7.68E-04,2.69E-06,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-5.86,0,0,0,0,0,0.55,0,3,0,2.65
Molecule 72,0.276477833,CCn1c(S)nc2c(c1=O)cccc2,C10H10N2OS,206.26,14,10,0.2,1,2,0,59.32,73.69,2.11,1.83,1.71,1.61,2.07,1.86,-2.73,3.80E-01,1.84E-03,Soluble,-3,2.07E-01,1.01E-03,Soluble,-3.32,9.90E-02,4.80E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.26,0,0,0,0,0,0.55,0,1,1,1.73
Molecule 73,0.141546527,OCCNC(=Nc1ccc(cc1)OCC)S,C11H16N2O2S,240.32,16,6,0.36,6,3,2,68.46,92.65,2.56,1.62,1.58,1.38,2,1.83,-2.23,1.41E+00,5.86E-03,Soluble,-3.18,1.60E-01,6.64E-04,Soluble,-3.43,8.99E-02,3.74E-04,Soluble,High,No,No,Yes,No,No,No,No,-6.62,0,0,0,0,0,0.55,0,3,1,2.7
Molecule 74,0.148075669,OCCCNC(=Nc1ccc(cc1)OCC)S,C12H18N2O2S,254.35,17,6,0.42,7,3,2,73.26,92.65,2.11,1.97,1.97,1.66,2.38,2.02,-2.46,8.88E-01,3.49E-03,Soluble,-3.54,7.32E-02,2.88E-04,Soluble,-3.83,3.77E-02,1.48E-04,Soluble,High,No,No,No,No,No,No,No,-6.45,0,0,0,0,0,0.55,0,3,0,2.79
Molecule 75,0.194444444,Cc1cccc(c1)N=C(NCc1ccco1)S,C13H14N2OS,246.33,17,11,0.15,4,2,1,72.91,76.33,2.63,2.92,3.14,1.92,3.28,2.78,-3.42,9.33E-02,3.79E-04,Soluble,-4.18,1.61E-02,6.54E-05,Moderately soluble,-5.18,1.62E-03,6.59E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.73,0,0,0,0,0,0.55,0,3,1,2.96
Molecule 76,0.177533893,Cc1ccc(cc1N=C(NCCCO)S)C,C12H18N2OS,238.35,16,6,0.42,5,2,2,71.9,83.42,2.5,2.36,2.19,2.25,2.95,2.45,-2.75,4.22E-01,1.77E-03,Soluble,-3.75,4.22E-02,1.77E-04,Soluble,-4.07,2.01E-02,8.43E-05,Moderately soluble,High,No,No,Yes,No,No,No,No,-6.08,0,0,0,0,0,0.55,0,3,1,2.79
Molecule 77,0.176279974,CCOc1ccc(cc1)N=C(NCc1ccccc1)S,C16H18N2OS,286.39,20,12,0.19,6,2,1,86.97,72.42,3.32,3.79,3.64,3.31,3.82,3.57,-4.05,2.54E-02,8.89E-05,Moderately soluble,-5,2.83E-03,9.89E-06,Moderately soluble,-6.1,2.26E-04,7.91E-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,Yes,No,-5.36,0,0,0,0,0,0.55,0,3,1,2.72
Molecule 78,0.13919179,OC(=O)CC1(OCCO1)C(F)(F)F,C6H7F3O4,200.11,13,0,0.83,3,7,1,33.01,55.76,1.31,0.3,2.03,0.08,1.35,1.01,-1.07,1.70E+01,8.48E-02,Very soluble,-1.03,1.85E+01,9.26E-02,Very soluble,-0.85,2.83E+01,1.41E-01,Soluble,High,Yes,No,No,No,No,No,No,-7.31,0,1,0,0,0,0.85,0,0,1,2.13
